# OpenSignals Text File Format. Version 1
# {"0C:43:14:1C:2A:02": {"position": 0, "device": "bitalino_rev", "device name": "0C:43:14:1C:2A:02", "device connection": "BTH0C:43:14:1C:2A:02", "sampling rate": 1000, "resolution": [4, 1, 1, 1, 1, 10, 10, 10, 10, 6, 6], "firmware version": 1282, "comments": "", "keywords": "", "mode": 0, "sync interval": 2, "date": "2026-4-17", "time": "12:52:39.347", "channels": [1, 2, 3, 4, 5, 6], "sensor": ["RAW", "RAW", "RAW", "RAW", "RAW", "RAW"], "label": ["A1", "A2", "A3", "A4", "A5", "A6"], "column": ["nSeq", "I1", "I2", "O1", "O2", "A1", "A2", "A3", "A4", "A5", "A6"], "special": [{}, {}, {}, {}, {}, {}], "digital IO": [0, 0, 1, 1]}}
# EndOfHeader
0	0	0	0	0	515	511	3	1018	40	21	
1	0	0	0	0	516	511	3	1018	40	21	
2	0	0	0	0	512	509	3	1018	40	21	
3	0	0	0	0	512	506	2	1018	40	21	
4	0	0	0	0	510	505	2	1019	40	21	
5	0	0	0	0	508	503	1	1018	40	21	
6	0	0	0	0	509	508	1	0	40	21	
7	0	0	0	0	513	513	0	0	40	21	
8	0	0	0	0	515	516	2	0	40	21	
9	0	0	0	0	515	519	1	0	40	21	
10	0	0	0	0	514	519	2	0	40	21	
11	0	0	0	0	513	519	2	0	40	21	
12	0	0	0	0	517	517	3	0	40	21	
13	0	0	0	0	516	514	3	1018	40	21	
14	0	0	0	0	514	512	1	1018	40	21	
15	0	0	0	0	514	512	2	1018	40	21	
0	0	0	0	0	512	511	3	1019	40	21	
1	0	0	0	0	515	508	1	1018	40	21	
2	0	0	0	0	511	505	0	1018	40	21	
3	0	0	0	0	509	505	0	1018	40	21	
4	0	0	0	0	507	504	1	1019	40	21	
5	0	0	0	0	507	502	0	1018	40	21	
6	0	0	0	0	503	502	0	1018	40	21	
7	0	0	0	0	508	504	0	0	40	21	
8	0	0	0	0	514	511	2	0	40	21	
9	0	0	0	0	514	513	0	0	40	21	
10	0	0	0	0	513	513	0	0	40	21	
11	0	0	0	0	516	516	0	0	40	21	
12	0	0	0	0	515	516	3	0	40	21	
13	0	0	0	0	508	513	1	0	40	21	
14	0	0	0	0	514	509	1	0	40	21	
15	0	0	0	0	517	511	1	1017	40	21	
0	0	0	0	0	512	510	2	1019	40	21	
1	0	0	0	0	514	508	1	1018	40	21	
2	0	0	0	0	517	508	1	1018	40	21	
3	0	0	0	0	513	507	0	1018	40	21	
4	0	0	0	0	509	504	2	1019	40	21	
5	0	0	0	0	504	501	0	1018	40	21	
6	0	0	0	0	499	499	0	0	40	21	
7	0	0	0	0	503	503	0	0	40	21	
8	0	0	0	0	512	508	1	0	40	21	
9	0	0	0	0	513	511	2	0	40	21	
10	0	0	0	0	515	515	2	0	40	21	
11	0	0	0	0	515	515	1	0	40	21	
12	0	0	0	0	516	517	3	0	40	21	
13	0	0	0	0	516	516	3	0	40	21	
14	0	0	0	0	513	515	3	0	40	21	
15	0	0	0	0	511	514	3	0	40	21	
0	0	0	0	0	516	513	3	0	40	21	
1	0	0	0	0	514	513	3	0	40	21	
2	0	0	0	0	513	513	2	1017	40	21	
3	0	0	0	0	512	511	2	1018	40	21	
4	0	0	0	0	511	507	1	1019	40	21	
5	0	0	0	0	508	504	0	0	40	21	
6	0	0	0	0	506	501	0	0	40	21	
7	0	0	0	0	504	501	0	0	40	21	
8	0	0	0	0	503	506	1	0	40	21	
9	0	0	0	0	512	509	0	0	40	21	
10	0	0	0	0	513	513	0	0	40	21	
11	0	0	0	0	519	517	0	0	40	21	
12	0	0	0	0	521	519	2	0	40	21	
13	0	0	0	0	517	517	0	0	40	21	
14	0	0	0	0	519	516	1	0	40	21	
15	0	0	0	0	515	514	1	0	40	21	
0	0	0	0	0	512	511	3	0	40	21	
1	0	0	0	0	515	511	3	0	40	21	
2	0	0	0	0	515	511	3	0	40	21	
3	0	0	0	0	513	509	2	830	40	21	
4	0	0	0	0	511	508	2	1017	40	21	
5	0	0	0	0	509	506	2	496	40	21	
6	0	0	0	0	509	504	1	0	40	21	
7	0	0	0	0	508	502	1	0	40	21	
8	0	0	0	0	508	504	1	0	40	21	
9	0	0	0	0	508	507	2	0	40	21	
10	0	0	0	0	514	511	1	0	40	21	
11	0	0	0	0	515	516	1	0	40	21	
12	0	0	0	0	517	517	2	0	40	21	
13	0	0	0	0	520	516	1	0	40	21	
14	0	0	0	0	515	515	0	0	40	21	
15	0	0	0	0	513	515	1	0	40	21	
0	0	0	0	0	508	515	3	0	40	21	
1	0	0	0	0	514	512	1	0	40	21	
2	0	0	0	0	513	513	0	0	40	21	
3	0	0	0	0	513	511	0	0	40	21	
4	0	0	0	0	511	510	3	1018	40	21	
5	0	0	0	0	509	507	0	1018	40	21	
6	0	0	0	0	508	506	2	1018	40	21	
7	0	0	0	0	510	503	1	0	40	21	
8	0	0	0	0	499	501	3	0	40	21	
9	0	0	0	0	509	503	1	0	40	21	
10	0	0	0	0	514	507	2	0	40	21	
11	0	0	0	0	513	511	2	0	40	21	
12	0	0	0	0	518	511	2	0	40	21	
13	0	0	0	0	517	511	2	0	40	21	
14	0	0	0	0	522	516	1	0	40	21	
15	0	0	0	0	520	515	1	0	40	21	
0	0	0	0	0	518	512	2	0	40	21	
1	0	0	0	0	515	511	1	613	40	21	
2	0	0	0	0	510	511	1	1018	40	21	
3	0	0	0	0	512	513	0	1018	40	21	
4	0	0	0	0	510	511	4	1019	40	21	
5	0	0	0	0	507	510	0	1018	40	21	
6	0	0	0	0	511	507	1	1018	40	21	
7	0	0	0	0	507	504	0	1018	40	21	
8	0	0	0	0	505	503	2	1019	40	21	
9	0	0	0	0	500	500	0	0	40	21	
10	0	0	0	0	502	504	0	0	40	21	
11	0	0	0	0	504	509	1	0	40	21	
12	0	0	0	0	510	514	3	0	40	21	
13	0	0	0	0	511	514	1	0	40	21	
14	0	0	0	0	514	513	2	0	40	21	
15	0	0	0	0	511	513	3	0	40	21	
0	0	0	0	0	517	513	2	0	40	21	
1	0	0	0	0	516	513	3	0	40	21	
2	0	0	0	0	514	513	3	0	40	21	
3	0	0	0	0	517	515	3	699	40	21	
4	0	0	0	0	512	515	3	1019	40	21	
5	0	0	0	0	514	512	3	1018	40	21	
6	0	0	0	0	518	509	2	1018	40	21	
7	0	0	0	0	512	507	1	1018	40	21	
